run,cycles,instructions,cpi,sp,ra,exception_flag,label
110,810162,810144,1.00,2147501168,2147484452,1,register_fault
111,828646,828666,0.99,2147501168,2147484452,1,register_fault
112,828260,828228,1.00,2147501168,2147484452,1,register_fault
113,807380,807220,1.00,2147501168,2147484452,1,register_fault
114,809932,809810,1.00,2147501168,2147484452,1,register_fault
115,807364,807144,1.00,2147501168,2147484452,1,register_fault
116,807466,807408,1.00,2147501168,2147484452,1,register_fault
117,807438,807264,1.00,2147501168,2147484452,1,register_fault
118,807774,807610,1.00,2147501168,2147484452,1,register_fault
119,809648,809502,1.00,2147501168,2147484452,1,register_fault
120,807190,807006,1.00,2147501168,2147484452,1,register_fault
121,809644,809382,1.00,2147501168,2147484452,1,register_fault
122,826246,826048,1.00,2147501168,2147484452,1,register_fault
123,828842,828710,1.00,2147501168,2147484452,1,register_fault
124,825474,825382,1.00,2147501168,2147484452,1,register_fault
125,836988,837284,0.99,2147501168,2147484452,1,register_fault
126,836826,836994,0.99,2147501168,2147484452,1,register_fault
127,825914,825738,1.00,2147501168,2147484452,1,register_fault
128,848894,849074,0.99,2147501168,2147484452,1,register_fault
129,826288,825872,1.00,2147501168,2147484452,1,register_fault
130,841652,841378,1.00,2147501168,2147484452,1,register_fault
131,826328,826786,0.99,2147501168,2147484452,1,register_fault
132,899804,899688,1.00,2147501168,2147484452,1,register_fault
133,825970,825842,1.00,2147501168,2147484452,1,register_fault
134,831846,831724,1.00,2147501168,2147484452,1,register_fault
135,825842,825776,1.00,2147501168,2147484452,1,register_fault
136,825344,825346,0.99,2147501168,2147484452,1,register_fault
137,836114,836050,1.00,2147501168,2147484452,1,register_fault
138,835278,835330,0.99,2147501168,2147484452,1,register_fault
139,825764,825688,1.00,2147501168,2147484452,1,register_fault
140,825486,825522,0.99,2147501168,2147484452,1,register_fault
141,825650,825540,1.00,2147501168,2147484452,1,register_fault
142,984524,987766,0.99,2147501168,2147484452,1,register_fault
143,826282,825994,1.00,2147501168,2147484452,1,register_fault
144,826574,826348,1.00,2147501168,2147484452,1,register_fault
145,826144,825972,1.00,2147501168,2147484452,1,register_fault
146,825982,825864,1.00,2147501168,2147484452,1,register_fault
147,826042,825888,1.00,2147501168,2147484452,1,register_fault
148,825718,825614,1.00,2147501168,2147484452,1,register_fault
149,826286,826200,1.00,2147501168,2147484452,1,register_fault
150,1066395,1068753,0.99,2147501168,2147484452,1,register_fault
151,865091,866865,0.99,2147501168,2147484452,1,register_fault
152,893558,893130,1.00,2147501168,2147484452,1,register_fault
