run,cycles,instructions,cpi,sp,ra,exception_flag,label
106,808814,808730,1.00,2147501408,2147484704,1,memory_fault
107,806196,806054,1.00,2147501408,2147484704,1,memory_fault
108,805950,805846,1.00,2147501408,2147484704,1,memory_fault
109,806080,805950,1.00,2147501408,2147484704,1,memory_fault
110,806470,806430,1.00,2147501408,2147484704,1,memory_fault
111,808494,808430,1.00,2147501408,2147484704,1,memory_fault
112,806046,805904,1.00,2147501408,2147484704,1,memory_fault
113,873934,873926,1.00,2147501408,2147484704,1,memory_fault
114,831140,831062,1.00,2147501408,2147484704,1,memory_fault
115,814028,813912,1.00,2147501408,2147484704,1,memory_fault
116,806550,806378,1.00,2147501408,2147484704,1,memory_fault
117,805914,805770,1.00,2147501408,2147484704,1,memory_fault
118,806322,806250,1.00,2147501408,2147484704,1,memory_fault
119,805732,805532,1.00,2147501408,2147484704,1,memory_fault
120,808472,808454,1.00,2147501408,2147484704,1,memory_fault
121,806210,806066,1.00,2147501408,2147484704,1,memory_fault
122,808804,808754,1.00,2147501408,2147484704,1,memory_fault
123,805818,805708,1.00,2147501408,2147484704,1,memory_fault
124,806158,806092,1.00,2147501408,2147484704,1,memory_fault
125,805978,805852,1.00,2147501408,2147484704,1,memory_fault
126,806782,806618,1.00,2147501408,2147484704,1,memory_fault
127,809650,809504,1.00,2147501408,2147484704,1,memory_fault
128,808044,807920,1.00,2147501408,2147484704,1,memory_fault
129,827326,827190,1.00,2147501408,2147484704,1,memory_fault
130,828222,828144,1.00,2147501408,2147484704,1,memory_fault
131,821168,821026,1.00,2147501408,2147484704,1,memory_fault
132,828134,827984,1.00,2147501408,2147484704,1,memory_fault
133,826908,826686,1.00,2147501408,2147484704,1,memory_fault
134,824582,824370,1.00,2147501408,2147484704,1,memory_fault
135,823928,823830,1.00,2147501408,2147484704,1,memory_fault
136,830626,830502,1.00,2147501408,2147484704,1,memory_fault
137,824830,824682,1.00,2147501408,2147484704,1,memory_fault
138,829222,829242,0.99,2147501408,2147484704,1,memory_fault
139,824254,824162,1.00,2147501408,2147484704,1,memory_fault
140,827390,827298,1.00,2147501408,2147484704,1,memory_fault
141,824268,824074,1.00,2147501408,2147484704,1,memory_fault
142,824300,824166,1.00,2147501408,2147484704,1,memory_fault
143,824298,824198,1.00,2147501408,2147484704,1,memory_fault
144,824178,823974,1.00,2147501408,2147484704,1,memory_fault
145,824126,823970,1.00,2147501408,2147484704,1,memory_fault
146,824610,824474,1.00,2147501408,2147484704,1,memory_fault
147,826714,826718,0.99,2147501408,2147484704,1,memory_fault
148,824444,824296,1.00,2147501408,2147484704,1,memory_fault
149,897544,896574,1.00,2147501408,2147484704,1,memory_fault
150,824342,824274,1.00,2147501408,2147484704,1,memory_fault
151,828280,828156,1.00,2147501408,2147484704,1,memory_fault
152,832506,832430,1.00,2147501408,2147484704,1,memory_fault
153,824200,824000,1.00,2147501408,2147484704,1,memory_fault
154,845886,845798,1.00,2147501408,2147484704,1,memory_fault
155,824296,824230,1.00,2147501408,2147484704,1,memory_fault
156,824254,824116,1.00,2147501408,2147484704,1,memory_fault
157,824652,824482,1.00,2147501408,2147484704,1,memory_fault
158,826998,826936,1.00,2147501408,2147484704,1,memory_fault
159,850150,850668,0.99,2147501408,2147484704,1,memory_fault
160,828112,828044,1.00,2147501408,2147484704,1,memory_fault
161,824316,825250,0.99,2147501408,2147484704,1,memory_fault
162,831884,831782,1.00,2147501408,2147484704,1,memory_fault
163,824002,823800,1.00,2147501408,2147484704,1,memory_fault
164,824120,823976,1.00,2147501408,2147484704,1,memory_fault
165,824966,824882,1.00,2147501408,2147484704,1,memory_fault
166,824360,824282,1.00,2147501408,2147484704,1,memory_fault
167,827372,827260,1.00,2147501408,2147484704,1,memory_fault
168,824454,824386,1.00,2147501408,2147484704,1,memory_fault
169,826990,826824,1.00,2147501408,2147484704,1,memory_fault
170,824356,824254,1.00,2147501408,2147484704,1,memory_fault
171,827174,827366,0.99,2147501408,2147484704,1,memory_fault
172,824276,824116,1.00,2147501408,2147484704,1,memory_fault
173,825248,825122,1.00,2147501408,2147484704,1,memory_fault
174,824666,824526,1.00,2147501408,2147484704,1,memory_fault
175,824704,824632,1.00,2147501408,2147484704,1,memory_fault
176,829648,829570,1.00,2147501408,2147484704,1,memory_fault
177,824494,824366,1.00,2147501408,2147484704,1,memory_fault
178,827378,827278,1.00,2147501408,2147484704,1,memory_fault
179,824680,824546,1.00,2147501408,2147484704,1,memory_fault
180,827688,827630,1.00,2147501408,2147484704,1,memory_fault
181,824796,824644,1.00,2147501408,2147484704,1,memory_fault
182,824276,824178,1.00,2147501408,2147484704,1,memory_fault
183,824092,823998,1.00,2147501408,2147484704,1,memory_fault
184,824882,824738,1.00,2147501408,2147484704,1,memory_fault
185,853212,848390,1.00,2147501408,2147484704,1,memory_fault
186,825064,824922,1.00,2147501408,2147484704,1,memory_fault
187,824888,824706,1.00,2147501408,2147484704,1,memory_fault
188,848082,849638,0.99,2147501408,2147484704,1,memory_fault
189,825934,825420,1.00,2147501408,2147484704,1,memory_fault
190,824746,824472,1.00,2147501408,2147484704,1,memory_fault
191,824188,824096,1.00,2147501408,2147484704,1,memory_fault
192,827526,827424,1.00,2147501408,2147484704,1,memory_fault
193,824964,824772,1.00,2147501408,2147484704,1,memory_fault
194,826964,826842,1.00,2147501408,2147484704,1,memory_fault
195,824484,824320,1.00,2147501408,2147484704,1,memory_fault
196,827862,827762,1.00,2147501408,2147484704,1,memory_fault
197,824680,824540,1.00,2147501408,2147484704,1,memory_fault
198,824144,824010,1.00,2147501408,2147484704,1,memory_fault
199,824242,824094,1.00,2147501408,2147484704,1,memory_fault
200,824462,824256,1.00,2147501408,2147484704,1,memory_fault
201,827160,827050,1.00,2147501408,2147484704,1,memory_fault
202,824080,823938,1.00,2147501408,2147484704,1,memory_fault
203,826966,826450,1.00,2147501408,2147484704,1,memory_fault
204,824600,824342,1.00,2147501408,2147484704,1,memory_fault
205,824420,824270,1.00,2147501408,2147484704,1,memory_fault
206,824458,824376,1.00,2147501408,2147484704,1,memory_fault
207,824700,824494,1.00,2147501408,2147484704,1,memory_fault
208,824880,824728,1.00,2147501408,2147484704,1,memory_fault
209,831048,830964,1.00,2147501408,2147484704,1,memory_fault
210,824884,824736,1.00,2147501408,2147484704,1,memory_fault
211,838378,838360,1.00,2147501408,2147484704,1,memory_fault
212,827962,827916,1.00,2147501408,2147484704,1,memory_fault
213,824024,823786,1.00,2147501408,2147484704,1,memory_fault
214,827302,827222,1.00,2147501408,2147484704,1,memory_fault
215,823616,823512,1.00,2147501408,2147484704,1,memory_fault
216,824044,823900,1.00,2147501408,2147484704,1,memory_fault
217,824392,824252,1.00,2147501408,2147484704,1,memory_fault
218,823920,823830,1.00,2147501408,2147484704,1,memory_fault
219,1936508,1938538,0.99,2147501408,2147484704,1,memory_fault
220,832420,831892,1.00,2147501408,2147484704,1,memory_fault
221,827254,827136,1.00,2147501408,2147484704,1,memory_fault
222,824896,824874,1.00,2147501408,2147484704,1,memory_fault
223,824366,824438,0.99,2147501408,2147484704,1,memory_fault
224,827748,827750,0.99,2147501408,2147484704,1,memory_fault
225,850600,851880,0.99,2147501408,2147484704,1,memory_fault
226,955760,956662,0.99,2147501408,2147484704,1,memory_fault
227,825980,825576,1.00,2147501408,2147484704,1,memory_fault
228,824984,824866,1.00,2147501408,2147484704,1,memory_fault
229,824672,824572,1.00,2147501408,2147484704,1,memory_fault
230,826098,825632,1.00,2147501408,2147484704,1,memory_fault
231,824752,824568,1.00,2147501408,2147484704,1,memory_fault
232,834426,834268,1.00,2147501408,2147484704,1,memory_fault
233,824948,824904,1.00,2147501408,2147484704,1,memory_fault
234,827422,827344,1.00,2147501408,2147484704,1,memory_fault
235,824564,824462,1.00,2147501408,2147484704,1,memory_fault
236,829690,829618,1.00,2147501408,2147484704,1,memory_fault
237,824448,824338,1.00,2147501408,2147484704,1,memory_fault
238,824864,824728,1.00,2147501408,2147484704,1,memory_fault
239,824298,824196,1.00,2147501408,2147484704,1,memory_fault
240,824422,824310,1.00,2147501408,2147484704,1,memory_fault
241,826894,826870,1.00,2147501408,2147484704,1,memory_fault
242,824444,824338,1.00,2147501408,2147484704,1,memory_fault
243,829530,829484,1.00,2147501408,2147484704,1,memory_fault
244,824510,824438,1.00,2147501408,2147484704,1,memory_fault
245,827112,827034,1.00,2147501408,2147484704,1,memory_fault
246,824666,824592,1.00,2147501408,2147484704,1,memory_fault
247,824370,824322,1.00,2147501408,2147484704,1,memory_fault
248,824408,824350,1.00,2147501408,2147484704,1,memory_fault
249,824686,824570,1.00,2147501408,2147484704,1,memory_fault
250,824542,824444,1.00,2147501408,2147484704,1,memory_fault
251,824080,823880,1.00,2147501408,2147484704,1,memory_fault
252,1141231,1143263,0.99,2147501408,2147484704,1,memory_fault
253,825866,825510,1.00,2147501408,2147484704,1,memory_fault
254,824228,824036,1.00,2147501408,2147484704,1,memory_fault
255,824676,824584,1.00,2147501408,2147484704,1,memory_fault
256,849349,850747,0.99,2147501408,2147484704,1,memory_fault
257,825384,824932,1.00,2147501408,2147484704,1,memory_fault
258,825420,825170,1.00,2147501408,2147484704,1,memory_fault
259,824670,824468,1.00,2147501408,2147484704,1,memory_fault
260,824500,824404,1.00,2147501408,2147484704,1,memory_fault
261,835478,835456,1.00,2147501408,2147484704,1,memory_fault
262,824674,824506,1.00,2147501408,2147484704,1,memory_fault
263,894964,895246,0.99,2147501408,2147484704,1,memory_fault
264,824416,824332,1.00,2147501408,2147484704,1,memory_fault
265,826980,826852,1.00,2147501408,2147484704,1,memory_fault
266,824596,824432,1.00,2147501408,2147484704,1,memory_fault
267,824070,823950,1.00,2147501408,2147484704,1,memory_fault
268,824372,824208,1.00,2147501408,2147484704,1,memory_fault
269,824448,824356,1.00,2147501408,2147484704,1,memory_fault
270,826666,826576,1.00,2147501408,2147484704,1,memory_fault
271,824090,824062,1.00,2147501408,2147484704,1,memory_fault
272,827604,827478,1.00,2147501408,2147484704,1,memory_fault
273,824358,824240,1.00,2147501408,2147484704,1,memory_fault
274,826626,826614,1.00,2147501408,2147484704,1,memory_fault
275,824348,824294,1.00,2147501408,2147484704,1,memory_fault
276,823982,823914,1.00,2147501408,2147484704,1,memory_fault
277,824444,824278,1.00,2147501408,2147484704,1,memory_fault
278,824226,824148,1.00,2147501408,2147484704,1,memory_fault
279,824632,824522,1.00,2147501408,2147484704,1,memory_fault
280,824528,824474,1.00,2147501408,2147484704,1,memory_fault
281,827214,827134,1.00,2147501408,2147484704,1,memory_fault
282,824454,824414,1.00,2147501408,2147484704,1,memory_fault
283,877118,877194,0.99,2147501408,2147484704,1,memory_fault
284,824326,824230,1.00,2147501408,2147484704,1,memory_fault
285,893384,893572,0.99,2147501408,2147484704,1,memory_fault
286,842422,842360,1.00,2147501408,2147484704,1,memory_fault
287,825024,824798,1.00,2147501408,2147484704,1,memory_fault
288,824522,824430,1.00,2147501408,2147484704,1,memory_fault
289,824272,824330,0.99,2147501408,2147484704,1,memory_fault
290,827130,827060,1.00,2147501408,2147484704,1,memory_fault
291,824588,824458,1.00,2147501408,2147484704,1,memory_fault
292,827392,827278,1.00,2147501408,2147484704,1,memory_fault
293,824354,824326,1.00,2147501408,2147484704,1,memory_fault
294,828672,828758,0.99,2147501408,2147484704,1,memory_fault
295,824228,824160,1.00,2147501408,2147484704,1,memory_fault
296,824910,824802,1.00,2147501408,2147484704,1,memory_fault
297,824370,824214,1.00,2147501408,2147484704,1,memory_fault
298,824382,824314,1.00,2147501408,2147484704,1,memory_fault
299,824122,823938,1.00,2147501408,2147484704,1,memory_fault
300,823972,823900,1.00,2147501408,2147484704,1,memory_fault
301,827254,827262,0.99,2147501408,2147484704,1,memory_fault
302,824360,824208,1.00,2147501408,2147484704,1,memory_fault
303,826432,826356,1.00,2147501408,2147484704,1,memory_fault
304,824336,824276,1.00,2147501408,2147484704,1,memory_fault
305,827010,826986,1.00,2147501408,2147484704,1,memory_fault
306,824142,823994,1.00,2147501408,2147484704,1,memory_fault
307,824598,824460,1.00,2147501408,2147484704,1,memory_fault
308,823864,823732,1.00,2147501408,2147484704,1,memory_fault
309,824164,824054,1.00,2147501408,2147484704,1,memory_fault
310,857178,859236,0.99,2147501408,2147484704,1,memory_fault
311,825974,825602,1.00,2147501408,2147484704,1,memory_fault
312,825478,825388,1.00,2147501408,2147484704,1,memory_fault
313,825300,825070,1.00,2147501408,2147484704,1,memory_fault
314,828434,828448,0.99,2147501408,2147484704,1,memory_fault
315,824652,824628,1.00,2147501408,2147484704,1,memory_fault
316,824150,824256,0.99,2147501408,2147484704,1,memory_fault
317,824670,824552,1.00,2147501408,2147484704,1,memory_fault
318,825916,826066,0.99,2147501408,2147484704,1,memory_fault
319,824238,824350,0.99,2147501408,2147484704,1,memory_fault
320,824102,823970,1.00,2147501408,2147484704,1,memory_fault
321,849458,849494,0.99,2147501408,2147484704,1,memory_fault
322,824046,823950,1.00,2147501408,2147484704,1,memory_fault
323,825056,825174,0.99,2147501408,2147484704,1,memory_fault
324,824936,824908,1.00,2147501408,2147484704,1,memory_fault
325,825346,825340,1.00,2147501408,2147484704,1,memory_fault
326,827892,827836,1.00,2147501408,2147484704,1,memory_fault
327,825336,825344,0.99,2147501408,2147484704,1,memory_fault
328,824438,824298,1.00,2147501408,2147484704,1,memory_fault
329,824366,824380,0.99,2147501408,2147484704,1,memory_fault
330,824652,824632,1.00,2147501408,2147484704,1,memory_fault
331,824302,824302,1.00,2147501408,2147484704,1,memory_fault
332,824614,824540,1.00,2147501408,2147484704,1,memory_fault
333,824864,824758,1.00,2147501408,2147484704,1,memory_fault
334,824616,824570,1.00,2147501408,2147484704,1,memory_fault
335,824638,824672,0.99,2147501408,2147484704,1,memory_fault
336,824574,824406,1.00,2147501408,2147484704,1,memory_fault
337,824616,824694,0.99,2147501408,2147484704,1,memory_fault
338,824128,824010,1.00,2147501408,2147484704,1,memory_fault
339,827716,827622,1.00,2147501408,2147484704,1,memory_fault
340,824644,824506,1.00,2147501408,2147484704,1,memory_fault
341,823982,824078,0.99,2147501408,2147484704,1,memory_fault
342,823978,824022,0.99,2147501408,2147484704,1,memory_fault
343,827160,827238,0.99,2147501408,2147484704,1,memory_fault
344,824732,824714,1.00,2147501408,2147484704,1,memory_fault
345,824698,824796,0.99,2147501408,2147484704,1,memory_fault
346,824700,824522,1.00,2147501408,2147484704,1,memory_fault
347,827426,827298,1.00,2147501408,2147484704,1,memory_fault
348,824366,824322,1.00,2147501408,2147484704,1,memory_fault
349,824392,824372,1.00,2147501408,2147484704,1,memory_fault
350,824040,824006,1.00,2147501408,2147484704,1,memory_fault
351,826926,826810,1.00,2147501408,2147484704,1,memory_fault
352,824882,824862,1.00,2147501408,2147484704,1,memory_fault
