cycles,instructions,cpi,sp,ra,exception_flag,label,label_enc
-0.306705326,-0.325265121,4.729727795,1.623924506,1.656974879,1,memory_fault,0
-0.582257561,-0.582334206,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.58628244,-0.586382555,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586397217,-0.586513711,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586866167,-0.58703287,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586691268,-0.586737769,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.585272394,-0.585279751,-0.944810651,1.623924506,1.656974879,1,memory_fault,0
-0.586550255,-0.586632844,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.49809147,-0.498055531,-0.944810651,1.623924506,1.656974879,1,memory_fault,0
-0.588125445,-0.588225297,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.58473895,-0.58478573,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.585832073,-0.585887441,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.595031795,-0.595086943,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.588446823,-0.588518212,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.594556287,-0.594693475,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.596226579,-0.596329646,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.58643657,-0.586507153,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.595118152,-0.595176566,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586710944,-0.586789138,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.563030622,-0.563037876,-0.944810651,1.623924506,1.656974879,1,memory_fault,0
-0.59270563,-0.592854012,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.584934619,-0.584976999,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586584141,-0.586697329,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.54962019,-0.549600941,-0.944810651,1.623924506,1.656974879,1,memory_fault,0
-0.58671313,-0.586802254,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.58685305,-0.586966199,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586632239,-0.586660168,-0.944810651,1.623924506,1.656974879,1,memory_fault,0
-0.586303209,-0.586392391,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.585146685,-0.585241497,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586597259,-0.586679842,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.584929153,-0.585031648,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586583048,-0.586608799,-0.944810651,1.623924506,1.656974879,1,memory_fault,0
-0.586694547,-0.586810998,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586727341,-0.586792417,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586781997,-0.586897342,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586508716,-0.586617543,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586638798,-0.586779302,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.585214458,-0.585315819,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586627866,-0.586746513,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.548891078,-0.548984508,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586322885,-0.586450319,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.584769557,-0.584769336,-0.944810651,1.623924506,1.656974879,1,memory_fault,0
-0.586804952,-0.586958548,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586561186,-0.586667819,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.569916203,-0.570029585,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.595249327,-0.595262911,-0.944810651,1.623924506,1.656974879,1,memory_fault,0
-0.586639891,-0.586756349,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586490133,-0.586604427,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586548068,-0.586671098,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.581153507,-0.581264191,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586756855,-0.58687439,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586816977,-0.586936689,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.584792513,-0.584895027,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.556164717,-0.556285526,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.584844983,-0.584752941,-0.944810651,1.623924506,1.656974879,1,memory_fault,0
-0.586694547,-0.586780395,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.585430897,-0.585495066,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586424546,-0.586543221,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586481388,-0.58659459,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586501064,-0.586600055,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.555741679,-0.555804621,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.585014417,-0.585068809,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586562279,-0.586663447,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.567092667,-0.567190057,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.579072201,-0.579190833,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.584741136,-0.584830542,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586338189,-0.586496223,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586602725,-0.586726839,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586598352,-0.58673449,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586546975,-0.586661261,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586427825,-0.586490758,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586486854,-0.586603334,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.425096548,-0.424060035,-0.944810651,1.623924506,1.656974879,1,memory_fault,0
-0.586114099,-0.586365067,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.569198022,-0.569301669,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.586155637,-0.586262328,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.581027798,-0.581640172,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.58650325,-0.586647053,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.533352335,-0.53206866,-0.944810651,1.623924506,1.656974879,1,memory_fault,0
-0.540131884,-0.54045718,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.553118184,-0.553263473,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.553567457,-0.553500647,-0.944810651,1.623924506,1.656974879,1,memory_fault,0
-0.499779252,-0.498779075,-0.944810651,1.623924506,1.656974879,1,memory_fault,0
-0.59543953,-0.59574163,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.596386175,-0.596477197,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.568699558,-0.568765022,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.596241882,-0.596417084,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.59228915,-0.59239278,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.596331518,-0.596407247,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.596284514,-0.596446594,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.59665399,-0.596734044,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.596644152,-0.59668486,0.946702164,1.623924506,1.656974879,1,memory_fault,0
-0.596634313,-0.596760275,0.946702164,1.623924506,1.656974879,1,memory_fault,0
